simulation,total_cost,build_cost,inservice_cost
48,4105975.1819013925,3956892.275691759,149082.90620963287
49,3096725.279162058,2960953.198704349,135772.08045770982
50,3965410.8104079855,3822884.7554080063,142526.05499997942
51,3798266.0446164054,3657172.8628356755,141093.1817807304
52,3561035.5477619153,3430609.254587153,130426.29317476248
53,4085412.4782667123,3942618.170281038,142794.30798567398
54,4733988.146895679,4579089.604716678,154898.54217900056
55,4542244.836753561,4385329.266824679,156915.5699288805
56,3477365.3625364127,3333694.6122236806,143670.75031273154
57,3568532.6030402845,3441593.6795709017,126938.92346938288
58,4187630.9406530396,4030923.033676559,156707.90697648033
59,4823132.238965553,4684258.955142364,138873.28382318822
60,3752193.8548979517,3614181.8249247884,138012.02997316324
61,4028988.2549637794,3886315.7139071682,142672.54105661108
62,3403118.567240495,3273266.487283319,129852.07995717599
63,3521722.610831529,3385389.686466228,136332.924365301
64,4518024.055948906,4381261.665874023,136762.39007488298
65,4983560.7521269135,4831625.077621524,151935.67450538918
66,4107865.861841442,3963383.642767567,144482.21907387488
67,4770168.068923042,4606044.002852267,164124.06607077556
68,4544567.041207774,4394519.265172201,150047.77603557296
69,3740760.622547578,3601628.487713529,139132.13483404918
70,4073608.2506834297,3928914.1149722403,144694.13571118913
71,4913204.150948885,4766903.388647045,146300.76230183945
72,4138340.480519783,3988406.319265186,149934.16125459687
73,5123892.07092477,4951737.068031328,172155.0028934407
74,2869126.1713020722,2754261.1535159075,114865.01778616534
75,4655510.963212198,4503264.483844171,152246.47936802683
76,3841766.9767306936,3697325.7994628446,144441.17726784892
77,3927660.195464934,3784040.9361982583,143619.2592666757
78,4025291.6138869114,3871648.792487153,153642.82139975863
79,2765568.530006709,2652357.8920067647,113210.63799994484
80,3981490.298649157,3821684.914256443,159805.38439271395
81,4224998.904493809,4099080.88689392,125918.0175998888
82,5021127.937532668,4867275.600934384,153852.33659828463
83,3748378.2444816995,3591222.7571039293,157155.48737777045
