scenario,label,p10,p50,p90,p50_swing,p90_swing,rows_affected
BASE,Base (no uplift),3456539,4283977,5267251,0,0,0
MAT,Materials (+40%),3667368,4891375,6623682,607398,1356431,87
LAB,Labour (+25%),3586404,4647604,6072843,363627,805592,70
FUEL,Fuel & Logistics (+50%),3588165,4633167,6014969,349190,747718,46
SPEC,Specialist/Bespoke (+35%),3568360,4525473,5696692,241496,429441,53
ENERGY,Energy Prices (+35%),3477196,4328243,5335310,44266,68059,19
REG,Regulatory (+30%),3492257,4342001,5354417,58024,87166,19
ALL,Combined Stress (all drivers),4062395,6021265,8939368,1737288,3672117,129
